Order_ID,Order_Date,Shipping_Date,Customer_Segment,Product_Category,Quantity,Sales_USD,Shipping_Cost_USD,Delivery_Time_Days,Estimated_Delivery_Days,Distance_KM,Warehouse_Code,Region,Shipping_Mode,Delivery_Status,Customer_Rating
ORD-2024-1101,2024-05-18,2024-05-21,Corporate,Industrial Machinery,5,5292.08,216.14,6.1,2,1627.5,WH-North,North,Express Air,Delayed,1.0
ORD-2024-1275,2024-05-02,2024-05-04,Corporate,Electronics,2,561.23,42.11,5.0,5,504.7,WH-West,South,Standard Delivery,Delivered,5.0
ORD-2024-1023,2024-01-06,2024-01-10,Consumer,Electronics,1,310.44,,2.7,2,759.5,WH-West,South,Express Air,Delivered,4.0
ORD-2024-1485,2024-06-04,2024-06-07,Small Business,Apparel,1,60.6,155.03,1.9,1,729.7,WH-South,Central,Same-Day Courier,Delivered,4.0
ORD-2024-1078,2024-01-17,2024-01-18,Consumer,Industrial Machinery,4,4978.31,81.94,6.0,5,1427.1,WH-West,South,Standard Delivery,Delivered,5.0
ORD-2024-2043,2024-03-13,2024-03-14,Corporate,Office Supplies,1,40.33,33.45,5.6,5,447.9,WH-South,South,Standard Delivery,Delivered,4.0
ORD-2024-2213,2024-06-20,2024-06-23,Home Office,Industrial Machinery,3,3688.49,43.71,6.2,5,563.3,WH-West,East,Standard Delivery,Delivered,5.0
ORD-2024-1128,2024-05-14,2024-05-16,Consumer,Office Supplies,8,288.16,101.65,7.6,5,1485.4,WH-East,East,Standard Delivery,Delayed,2.0
ORD-2024-1997,2024-06-06,2024-06-09,Consumer,Apparel,2,155.95,71.67,6.6,7,922.3,WH-North,Central,Ground Freight,Delivered,4.0
ORD-2024-1621,2024-05-10,2024-05-11,Consumer,Electronics,2,593.44,215.13,3.4,1,1159.7,WH-South,North,Same-Day Courier,Delayed,1.0
ORD-2024-1668,2024-05-08,2024-05-09,Consumer,Office Supplies,2,75.78,59.84,7.1,5,1040.6,WH-South,West,Standard Delivery,Delivered,3.0
ORD-2024-1051,2024-03-27,2024-03-30,Home Office,Healthcare Supplies,10,992.89,148.74,10.5,7,1915.3,WH-Central,North,Ground Freight,Returned,1.0
ORD-2024-1479,2024-04-24,2024-04-27,Corporate,Industrial Machinery,1,1452.42,49.98,6.1,5,754.4,WH-North,Central,Standard Delivery,Delayed,2.0
ORD-2024-1963,2024-03-08,2024-03-10,Consumer,Healthcare Supplies,1,111.13,117.1,8.5,7,1436.1,WH-West,East,Ground Freight,Delivered,4.0
ORD-2024-1582,2024-05-27,2024-05-30,Corporate,Industrial Machinery,8,9003.84,69.39,7.4,7,386.5,WH-South,North,Ground Freight,Delivered,4.0
ORD-2024-1730,2024-06-12,2024-06-13,Consumer,Electronics,4,1046.05,49.23,6.4,7,239.4,WH-North,East,Ground Freight,Delivered,5.0
ORD-2024-1265,2024-03-18,2024-03-20,Corporate,Electronics,5,1369.52,126.38,3.7,2,523.8,WH-South,Central,Express Air,Delivered,4.0
ORD-2024-1239,2024-06-11,2024-06-13,Consumer,Office Supplies,2,83.36,28.76,5.5,5,203.0,WH-Central,North,Standard Delivery,Delivered,3.0
ORD-2024-1346,2024-01-25,2024-01-26,Corporate,Electronics,2,431.63,80.24,6.6,5,1394.3,WH-North,West,Standard Delivery,Delivered,
ORD-2024-1306,2024-06-08,2024-06-11,Corporate,Industrial Machinery,1,1451.15,27.88,6.1,5,,WH-West,West,Standard Delivery,Delivered,4.0
ORD-2024-2043,2024-03-13,2024-03-14,Corporate,Office Supplies,1,40.33,33.45,5.6,5,447.9,WH-South,South,Standard Delivery,Delivered,4.0
ORD-2024-1363,2024-03-20,2024-03-22,Corporate,Office Supplies,4,124.59,218.57,4.7,2,1379.8,WH-North,East,Express Air,Delivered,4.0
ORD-2024-2072,2024-04-22,2024-04-26,Consumer,Industrial Machinery,2,2822.41,,3.0,5,197.0,WH-South,West,Standard Delivery,Delivered,4.0
ORD-2024-2006,2024-01-12,2024-01-15,Corporate,Office Supplies,1,37.79,84.77,1.0,2,482.2,WH-North,Central,Express Air,Delivered,5.0
ORD-2024-1208,2024-04-23,2024-04-25,Consumer,Electronics,1,255.16,75.38,6.4,7,882.2,WH-North,North,Ground Freight,Delivered,4.0
ORD-2024-1425,2024-05-24,2024-05-27,Corporate,Office Supplies,5,204.06,131.51,3.0,2,702.4,WH-Central,Central,Express Air,Delivered,3.0
ORD-2024-1843,2024-01-21,2024-01-24,Small Business,Office Supplies,2,64.72,32.39,4.1,5,347.3,WH-South,North,Standard Delivery,Delivered,4.0
ORD-2024-1976,2024-02-08,2024-02-10,Corporate,Office Supplies,4,153.9,65.14,7.7,5,1036.3,WH-Central,Central,Standard Delivery,Delivered,5.0
ORD-2024-1220,2024-03-30,2024-04-03,Corporate,Industrial Machinery,1,1187.52,77.49,7.9,5,1604.7,WH-Central,Central,Standard Delivery,Delivered,4.0
ORD-2024-1905,2024-05-11,2024-05-12,Home Office,Electronics,1,294.99,118.62,2.2,2,605.3,WH-North,West,Express Air,Delivered,3.0
ORD-2024-2235,2024-06-06,2024-06-09,Consumer,Healthcare Supplies,4,549.13,74.07,8.3,7,,WH-North,East,Ground Freight,Delivered,4.0
ORD-2024-1839,2024-04-26,2024-04-27,Corporate,Office Supplies,2,80.45,108.41,3.8,2,545.0,WH-West,West,Express Air,Delayed,2.0
ORD-2024-1032,2024-04-06,2024-04-07,Consumer,Industrial Machinery,5,5285.97,178.34,3.4,2,1113.7,WH-North,South,Express Air,Delayed,1.0
ORD-2024-1240,2024-03-02,2024-03-06,Small Business,Electronics,4,1090.55,146.44,1.4,1,597.5,WH-North,South,Same-Day Courier,Delivered,5.0
ORD-2024-1243,2024-03-29,2024-04-02,Consumer,Electronics,4,920.07,276.14,2.3,1,1435.0,WH-North,North,Same-Day Courier,Delivered,4.0
ORD-2024-2041,2024-01-25,2024-01-26,Home Office,Electronics,2,559.68,49.74,5.2,5,642.6,WH-Central,West,Standard Delivery,Delivered,4.0
ORD-2024-1759,2024-02-03,2024-02-06,Home Office,Office Supplies,1,40.86,48.68,4.5,5,681.8,WH-Central,Central,,Delivered,3.0
ORD-2024-1940,2024-04-03,2024-04-05,Consumer,Electronics,3,893.7,34.93,5.7,5,305.7,WH-South,South,Standard Delivery,Delivered,3.0
ORD-2024-1168,2024-03-25,2024-03-26,Consumer,Office Supplies,1,41.84,29.84,5.7,5,257.8,WH-West,West,Standard Delivery,Delivered,5.0
ORD-2024-1834,2024-04-23,2024-04-27,Corporate,Office Supplies,1,33.37,36.94,7.0,7,263.0,WH-West,Central,Ground Freight,Delivered,4.0
ORD-2024-1198,2024-04-21,2024-04-24,Home Office,Healthcare Supplies,1,126.18,54.95,6.4,5,887.3,WH-North,West,Standard Delivery,Delayed,3.0
ORD-2024-1367,2024-03-15,2024-03-16,Small Business,Industrial Machinery,15,17915.37,114.56,8.7,5,,WH-South,West,Standard Delivery,Delayed,1.0
ORD-2024-2002,2024-02-12,2024-02-13,Home Office,Industrial Machinery,1,1038.71,76.99,7.9,7,789.5,WH-West,Central,Ground Freight,Delayed,2.0
ORD-2024-2047,2024-05-12,2024-05-13,Consumer,Electronics,1,234.09,112.87,1.4,2,782.9,WH-West,East,Express Air,Delivered,5.0
ORD-2024-1706,2024-05-29,2024-05-30,Consumer,Industrial Machinery,1,1309.75,,7.4,7,928.6,WH-West,Central,,Delivered,3.0
ORD-2024-2210,2024-03-05,2024-03-09,Consumer,Healthcare Supplies,1,103.31,47.57,4.6,5,709.7,WH-East,North,Standard Delivery,Delivered,5.0
ORD-2024-1859,2024-04-20,2024-04-23,Consumer,Healthcare Supplies,2,215.63,142.88,1.3,2,833.2,WH-South,West,Express Air,Delivered,4.0
ORD-2024-1707,2024-03-04,2024-03-08,Home Office,Office Supplies,3,126.86,121.02,9.4,5,2377.6,WH-North,West,Standard Delivery,Delayed,3.0
ORD-2024-1374,2024-01-15,2024-01-16,Consumer,Electronics,2,490.94,31.2,6.4,5,250.7,WH-West,West,Standard Delivery,Delivered,
ORD-2024-1561,2024-05-25,2024-05-26,Consumer,Apparel,1,75.07,92.99,1.0,1,374.4,WH-Central,North,Same-Day Courier,Delivered,4.0
ORD-2024-1549,2024-03-03,2024-03-04,Home Office,Electronics,4,973.36,78.69,5.5,5,1334.3,WH-East,South,Standard Delivery,Delivered,5.0
ORD-2024-1777,2024-04-16,2024-04-17,Corporate,Healthcare Supplies,1,127.09,70.78,5.2,5,1290.3,WH-Central,East,Standard Delivery,Delivered,
ORD-2024-1058,2024-05-31,2024-06-01,Consumer,Office Supplies,1,36.9,139.7,3.3,2,1019.6,WH-North,North,Express Air,Delivered,4.0
ORD-2024-2240,2024-02-21,2024-02-25,Home Office,Electronics,3,923.41,137.94,2.6,1,404.3,WH-Central,Central,Same-Day Courier,Delivered,4.0
ORD-2024-2135,2024-01-11,2024-01-15,Consumer,Industrial Machinery,3,4030.48,47.49,4.8,5,662.5,WH-Central,East,Standard Delivery,Delivered,4.0
ORD-2024-1679,2024-01-30,2024-02-01,Home Office,Electronics,1,222.61,96.57,5.9,5,1679.0,WH-West,West,Standard Delivery,Delivered,4.0
ORD-2024-1590,2024-05-27,2024-05-29,Consumer,Office Supplies,2,82.02,36.82,4.2,5,465.7,WH-South,East,Standard Delivery,Delivered,3.0
ORD-2024-1513,2024-05-04,2024-05-06,Home Office,Office Supplies,3,130.08,90.42,2.4,2,387.9,WH-South,South,Express Air,Delivered,4.0
ORD-2024-1575,2024-05-12,2024-05-16,Small Business,Office Supplies,1,34.64,27.61,6.2,5,302.6,WH-Central,Central,Standard Delivery,Delayed,1.0
ORD-2024-1049,2024-05-16,2024-05-17,Consumer,Apparel,4,296.07,248.99,,2,,WH-East,North,,Delivered,4.0
ORD-2024-1328,2024-06-24,2024-06-27,Consumer,Industrial Machinery,3,3852.43,91.58,6.0,5,1604.7,WH-West,South,Standard Delivery,Delivered,4.0
ORD-2024-1962,2024-03-24,2024-03-26,Consumer,Electronics,2,529.02,56.93,6.8,5,1096.3,WH-South,East,Standard Delivery,Delayed,2.0
ORD-2024-1192,2024-05-15,2024-05-18,Small Business,Industrial Machinery,3,3257.37,52.44,9.3,7,462.1,WH-North,North,Ground Freight,Delayed,1.0
ORD-2024-1086,2024-04-22,2024-04-25,Corporate,Electronics,2,480.14,69.2,6.8,7,824.5,WH-Central,North,Ground Freight,Delivered,4.0
ORD-2024-1554,2024-05-17,2024-05-20,Home Office,Office Supplies,5,169.79,161.8,11.6,7,2099.4,WH-West,West,Ground Freight,Delayed,1.0
ORD-2024-1743,2024-05-06,2024-05-07,Corporate,Electronics,1,311.69,172.75,2.5,1,794.2,WH-West,West,,Delivered,4.0
ORD-2024-2182,2024-05-21,2024-05-23,Corporate,Healthcare Supplies,1,114.8,51.88,4.5,5,864.9,WH-Central,West,Standard Delivery,Delivered,5.0
ORD-2024-1841,2024-01-20,2024-01-21,Corporate,Healthcare Supplies,5,595.7,55.97,6.4,5,663.8,WH-North,East,Standard Delivery,Delayed,1.0
ORD-2024-1813,2024-03-14,2024-03-16,Small Business,Office Supplies,4,149.82,74.75,6.3,5,1355.0,WH-North,North,Standard Delivery,Delivered,5.0
ORD-2024-1977,2024-02-27,2024-02-28,Consumer,Industrial Machinery,1,1339.83,58.9,7.1,5,1113.1,WH-West,East,Standard Delivery,Delivered,3.0
ORD-2024-2234,2024-06-04,2024-06-07,Corporate,Office Supplies,1,38.9,44.17,8.6,5,534.4,WH-East,North,Standard Delivery,Delayed,1.0
ORD-2024-2141,2024-04-25,2024-04-29,Consumer,Electronics,4,1106.45,55.2,6.7,5,723.1,WH-North,Central,Standard Delivery,Delivered,4.0
ORD-2024-1422,2024-03-24,2024-03-25,Consumer,Apparel,3,176.7,469.23,5.8,1,2681.7,WH-South,West,Same-Day Courier,Delayed,2.0
ORD-2024-1513,2024-05-04,2024-05-06,Home Office,Office Supplies,3,130.08,90.42,2.4,2,387.9,WH-South,South,Express Air,Delivered,4.0
ORD-2024-1453,2024-04-29,2024-05-01,Small Business,Office Supplies,3,102.99,34.97,6.9,5,333.9,WH-Central,East,Standard Delivery,Delayed,3.0
ORD-2024-1123,2024-06-07,2024-06-08,Consumer,Office Supplies,2,86.78,44.98,7.4,5,584.1,WH-West,Central,Standard Delivery,Delivered,5.0
ORD-2024-1935,2024-01-03,2024-01-04,Consumer,Healthcare Supplies,1,122.39,74.57,1.2,2,372.3,WH-South,South,Express Air,Delivered,5.0
ORD-2024-1898,2024-04-05,2024-04-07,Consumer,Office Supplies,1,39.19,178.78,3.3,1,1110.8,WH-Central,North,Same-Day Courier,Delivered,5.0
ORD-2024-2195,2024-04-25,2024-04-27,Home Office,Office Supplies,2,87.43,45.73,5.0,5,583.7,WH-Central,North,Standard Delivery,Delivered,4.0
ORD-2024-1705,2024-04-14,2024-04-17,Small Business,Healthcare Supplies,3,340.05,63.1,7.0,5,1202.1,WH-North,West,Standard Delivery,Delayed,3.0
ORD-2024-1308,2024-01-11,2024-01-15,Home Office,Apparel,3,193.19,46.03,6.2,7,369.1,WH-Central,East,,Delivered,5.0
ORD-2024-1196,2024-03-21,2024-03-25,Corporate,Industrial Machinery,3,3315.18,187.33,3.9,2,1309.2,WH-East,West,Express Air,Delivered,4.0
ORD-2024-1333,2024-05-19,2024-05-23,Consumer,Office Supplies,2,65.44,42.47,7.0,5,662.9,WH-West,South,Standard Delivery,Delayed,1.0
ORD-2024-1420,2024-03-17,2024-03-21,Home Office,Office Supplies,2,71.59,34.59,4.6,5,310.3,WH-North,South,Standard Delivery,Delivered,5.0
ORD-2024-2035,2024-03-23,2024-03-24,Corporate,Electronics,1,284.27,68.45,6.9,5,1309.8,WH-South,North,Standard Delivery,Delivered,5.0
ORD-2024-1254,2024-05-27,2024-05-30,Consumer,Office Supplies,1,38.1,52.96,7.6,7,550.6,WH-North,Central,Ground Freight,Delayed,2.0
ORD-2024-1523,2024-06-14,2024-06-16,Home Office,Healthcare Supplies,3,342.01,63.53,5.0,5,1014.7,WH-East,South,Standard Delivery,Delivered,
ORD-2024-1910,2024-03-15,2024-03-17,Corporate,Industrial Machinery,2,2315.86,58.17,4.3,5,937.3,WH-East,South,Standard Delivery,Delivered,5.0
ORD-2024-1605,2024-03-20,2024-03-24,Corporate,Electronics,5,1553.74,186.47,2.6,2,4265.104699441829,WH-East,South,Express Air,Delayed,2.0
ORD-2024-1289,2024-06-10,2024-06-13,Corporate,Office Supplies,4,143.29,124.45,3.8,2,780.1,WH-East,Central,Express Air,Delivered,5.0
ORD-2024-1296,2024-02-28,2024-03-01,Home Office,Apparel,1,76.2,33.7,4.2,5,422.0,WH-South,North,Standard Delivery,Delivered,5.0
ORD-2024-1987,2024-02-27,2024-02-29,Consumer,Electronics,1,243.58,116.01,1.3,1,470.0,WH-South,North,Same-Day Courier,Delivered,4.0
ORD-2024-1741,2024-04-10,2024-04-13,Consumer,Electronics,1,280.34,211.85,5.2,2,1684.6,WH-West,South,Express Air,Returned,1.0
ORD-2024-1712,2024-01-25,2024-01-27,Corporate,Apparel,2,124.08,70.73,8.1,5,1112.2,WH-Central,North,Standard Delivery,Returned,1.0
ORD-2024-2223,2024-03-14,2024-03-17,Small Business,Apparel,3,208.79,58.04,3.5,5,762.6,WH-West,North,Standard Delivery,Delivered,5.0
ORD-2024-1029,2024-01-02,2024-01-04,Consumer,Office Supplies,1,33.09,49.08,5.8,5,647.3,WH-Central,Central,Standard Delivery,Delivered,4.0
ORD-2024-1634,2024-02-25,2024-02-26,Consumer,Electronics,2,454.89,59.06,6.0,5,1056.4,WH-Central,North,Standard Delivery,Delayed,1.0
ORD-2024-1355,2024-03-13,2024-03-16,Corporate,Office Supplies,5,190.46,50.62,4.9,5,609.6,WH-East,East,Standard Delivery,Delivered,4.0
ORD-2024-1031,2024-04-10,2024-04-13,Consumer,Apparel,1,69.95,204.28,5.1,2,1524.8,WH-South,West,Express Air,Delayed,2.0
ORD-2024-1806,2024-02-23,2024-02-27,Small Business,Office Supplies,1,32.28,71.32,5.8,5,1147.9,WH-East,South,Standard Delivery,Delayed,1.0
ORD-2024-1672,2024-05-04,2024-05-08,Consumer,Industrial Machinery,3,3218.0,102.87,4.9,2,367.3,WH-East,North,Express Air,Delivered,4.0
ORD-2024-1851,2024-04-19,2024-04-20,Corporate,Office Supplies,-1,63.34,156.61,1.5,1,627.0,WH-West,South,Same-Day Courier,Delivered,3.0
ORD-2024-1070,2024-02-23,2024-02-25,Home Office,Electronics,2,444.0,147.2,1.8,2,1021.7,WH-South,South,Express Air,Delivered,
ORD-2024-2131,2024-01-25,2024-01-27,Corporate,Apparel,1,64.61,88.51,9.8,7,1242.4,WH-East,North,Ground Freight,Delivered,4.0
ORD-2024-1478,2024-03-07,2024-03-09,Small Business,Apparel,8,551.68,86.2,6.9,7,811.0,WH-East,West,Ground Freight,Delivered,4.0
ORD-2024-2088,2024-03-13,2024-03-14,Small Business,Electronics,2,517.83,146.96,,2,922.5,WH-North,North,Express Air,Delivered,4.0
ORD-2024-1598,2024-02-05,2024-02-07,Consumer,Apparel,2,150.31,171.78,3.9,2,1417.2,WH-West,North,Express Air,Delivered,5.0
ORD-2024-1722,2024-03-10,2024-03-12,Consumer,Electronics,2,613.13,47.23,7.0,7,336.1,WH-North,North,Ground Freight,Delivered,4.0
ORD-2024-1581,2024-05-09,2024-05-13,Small Business,Industrial Machinery,1,1429.49,36.23,5.7,5,412.6,WH-North,Central,Standard Delivery,Delayed,
ORD-2024-1923,2024-06-10,2023-12-15,Home Office,Apparel,1,71.14,148.08,3.2,2,912.2,WH-North,North,Express Air,Delayed,3.0
ORD-2024-1527,2024-02-08,2024-02-10,Consumer,Office Supplies,1,38.06,43.31,5.3,5,519.0,WH-South,East,Standard Delivery,Delivered,5.0
ORD-2024-2146,2024-01-25,2024-01-29,Home Office,Electronics,5,1151.04,103.29,1.3,2,484.7,WH-North,East,Express Air,Delivered,5.0
ORD-2024-1113,2024-04-13,2024-04-15,Home Office,Industrial Machinery,1,1426.85,125.61,1.8,2,949.2,WH-South,West,Express Air,Delivered,3.0
ORD-2024-1998,2024-05-20,2024-05-21,Small Business,Industrial Machinery,1,1445.9,37.01,3.4,5,482.2,WH-South,North,Standard Delivery,Delivered,4.0
ORD-2024-1435,2024-03-26,2024-03-30,Corporate,Apparel,1,57.99,114.72,2.5,2,686.3,WH-East,North,Express Air,Delivered,5.0
ORD-2024-2239,2024-02-12,2024-02-16,Consumer,Office Supplies,1,30.68,123.74,8.6,7,1783.3,WH-West,East,Ground Freight,Delivered,3.0
ORD-2024-1497,2024-04-16,2024-04-20,Consumer,Electronics,1,228.13,62.02,9.4,7,714.3,WH-North,South,Ground Freight,Delayed,1.0
ORD-2024-1107,2024-01-11,2024-01-13,Home Office,Office Supplies,4,167.71,58.77,6.4,5,727.9,WH-East,South,Standard Delivery,Delivered,4.0
ORD-2024-1988,2024-05-21,2024-05-24,Consumer,Electronics,2,615.73,162.37,4.0,2,1137.2,WH-South,North,Express Air,Delivered,4.0
ORD-2024-2018,2024-01-15,2024-01-18,Small Business,Electronics,8,1744.77,231.69,2.9,2,1518.8,WH-West,North,Express Air,Delivered,3.0
ORD-2024-1667,2024-01-16,2024-01-19,Consumer,Industrial Machinery,2,2097.15,108.35,8.6,7,1471.5,WH-North,North,Ground Freight,Delivered,5.0
ORD-2024-2174,2024-06-10,2024-06-14,Corporate,Electronics,3,922.67,82.1,2.1,2,334.7,WH-North,East,Express Air,Delivered,4.0
ORD-2024-2148,2024-03-09,2024-03-12,Home Office,Industrial Machinery,2,2982.08,142.68,3.4,2,969.0,WH-North,East,Express Air,Delivered,5.0
ORD-2024-1746,2024-04-15,2024-04-17,Consumer,Healthcare Supplies,1,100.79,74.37,2.7,2,383.2,WH-East,East,Express Air,Delayed,2.0
ORD-2024-1451,2024-05-23,2024-05-26,Corporate,Office Supplies,3,125.16,43.11,4.9,5,596.8,WH-North,West,Standard Delivery,Delivered,5.0
ORD-2024-1934,2024-05-15,2024-05-17,Consumer,Industrial Machinery,1,1164.28,50.26,4.4,5,679.4,WH-West,West,Standard Delivery,Delivered,4.0
ORD-2024-1429,2024-06-02,2024-06-03,Consumer,Industrial Machinery,3,3340.27,72.41,1.4,2,227.1,WH-South,South,Express Air,Delivered,5.0
ORD-2024-1261,2024-01-08,2024-01-09,Small Business,Apparel,4,286.33,51.04,6.6,7,301.1,WH-South,North,Ground Freight,Delivered,4.0
ORD-2024-1816,2024-03-10,2024-03-11,Corporate,Electronics,8,1757.85,39.44,4.4,5,235.6,WH-South,East,Standard Delivery,Delivered,5.0
ORD-2024-1553,2024-04-01,2024-04-02,Corporate,Electronics,1,294.19,79.73,1.9,2,437.5,WH-East,South,Express Air,Delivered,4.0
ORD-2024-2133,2024-05-28,2024-05-31,Consumer,Office Supplies,2,62.27,33.09,6.5,5,384.9,WH-North,South,Standard Delivery,Delayed,2.0
ORD-2024-1174,2024-05-12,2024-05-15,Corporate,Healthcare Supplies,2,222.58,65.44,4.3,5,957.7,WH-Central,Central,Standard Delivery,Delivered,4.0
ORD-2024-1862,2024-05-24,2024-05-26,Corporate,Electronics,1,254.49,75.45,6.5,5,1257.2,WH-East,West,Standard Delivery,Delivered,3.0
ORD-2024-1519,2024-04-15,2024-04-18,Consumer,Office Supplies,5,174.42,113.15,1.0,2,425.5,WH-Central,West,Express Air,Delivered,5.0
ORD-2024-1297,2024-05-17,2024-05-21,Consumer,Industrial Machinery,1,1097.58,89.86,1.0,2,447.6,WH-East,East,Express Air,Delivered,4.0
ORD-2024-1377,2024-02-03,2024-02-04,Consumer,Office Supplies,1,38.17,25.81,4.4,5,224.6,WH-Central,North,Standard Delivery,Delivered,5.0
ORD-2024-1739,2024-04-13,2024-04-16,Consumer,Apparel,4,298.63,36.12,5.8,5,357.8,WH-East,East,Standard Delivery,Delayed,3.0
ORD-2024-1423,2024-02-21,2024-02-24,Corporate,Apparel,2,141.04,58.01,5.2,5,859.6,WH-East,North,Standard Delivery,Delivered,4.0
ORD-2024-1054,2024-03-24,2024-03-26,Corporate,Apparel,1,76.89,53.64,7.2,5,,WH-South,North,Standard Delivery,Delivered,3.0
ORD-2024-1277,2024-06-20,2024-06-21,Corporate,Office Supplies,5,191.14,41.34,4.3,5,392.4,WH-North,North,Standard Delivery,Delivered,4.0
